,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
"('Cladribine', 'Vinorelbine tartrate')",-204.1111685,-221.9068087,-206.2438413,-200.060246,-175.4618838,-246.2343595,-67.5290088,-178.5448242,-193.3104625,-224.4347995,-169.0152175,-189.3196917,-255.5687872,-122.6047975,-200.1606568,-160.0579585,-182.077127,-170.5910048,-191.8318577,-148.1486044,-280.0858222,-238.5609836,-166.9563635,-102.1226713,-179.2742128,-182.0441162,-65.27965167,-195.4842559,-88.425334,-128.5780227,-169.3838152,-191.149393,-188.3387205,-174.1592898,-212.78328,-140.8208919,-236.7819271,-193.8059702,-181.5027259,-201.9748501,-188.3432205,-158.7604307,-187.1225984,-226.2306649,-145.5503987,-160.6121923,-187.3533483,-153.1701317,-212.7639632,-184.6944696,-180.761245,-162.936846,-27.33252277,-203.0106467,-208.6375884,-238.823634,-208.1125498,-199.1634795,-190.4888543,-291.6501396
"('Cladribine', 'Crizotinib')",-313.4949673,-279.579713,-297.0196817,-242.3669183,-256.0975093,-264.5780495,-131.1889762,-286.402868,-317.336337,-315.056213,-254.0398411,-236.6297159,-270.5244158,-208.1626392,-316.5881012,-238.9689848,-269.6550863,-279.744387,-315.3575546,-228.2623244,-227.8570573,-330.3608122,-285.7929609,-305.3808501,-291.8670721,-272.6204246,-304.1593152,-276.8327919,-131.5831474,-313.5476181,-286.6803266,-346.285879,-295.3306968,-270.4295847,-241.125057,-322.5326841,-339.0420543,12.66732373,-426.2619542,-286.470197,-178.4481936,-333.7233516,-289.6686147,-298.2039083,-324.4115372,-312.7138672,-326.4821383,-296.4494235,-276.2833133,-234.3993472,-291.0566542,-288.2515803,-115.1318669,-272.7094707,-304.3543663,-280.1579038,-315.2431466,-326.8190925,-289.5490885,-263.2902687
"('Cladribine', 'Axitinib')",-284.7671832,-278.7670237,-327.1136402,-273.9150065,-286.0982899,-250.0572342,-152.6075327,-240.8947897,-312.3923941,-292.5732293,-239.9892601,-218.3992747,-284.6557832,-106.6659008,-303.7840394,-283.9919841,-298.4129917,-266.1112142,-325.2652443,-195.9359552,-226.0837949,-323.5918419,-266.1951006,-280.3551701,-253.5445024,-297.4549856,-241.3478512,-336.7192779,-83.7398876,-335.3122131,-338.5843537,-352.5593948,-291.2265747,-273.7908615,-244.5397974,-343.6473156,-350.5703619,-282.9087265,-212.8795386,-311.0140434,-214.3277818,-333.5983663,-258.394427,-318.6234244,-307.3944446,-250.8335083,-298.1553423,-373.4295537,-288.0268913,-240.047981,-263.9074374,-343.3647916,-244.5080121,-253.3447758,-243.1061713,-284.8789867,-285.8665826,-311.5140501,-262.8057984,-272.3874194
"('Daunorubicin hydrochloride', 'Teniposide')",-128.4628227,-178.3219445,-193.3303056,29.10870186,-193.2311,12.72354064,-60.86511057,-119.9608288,-137.7680098,-204.041494,-185.6256368,-128.4677756,-142.9182436,-84.84670624,-61.55173097,48.40919933,-133.2896294,-186.2789437,-69.38005422,-184.4522499,-119.3027863,-111.7327006,-210.5341224,-132.2307603,-150.2158928,-140.5462657,-227.8601974,-156.6630683,-47.29525532,-157.4095377,-81.81025683,-132.6525657,-123.1908146,-122.796274,-261.3997256,55.06969156,-209.9845798,-163.0656367,-190.7321353,-147.0428073,24.20469947,-78.32312241,-142.2523683,-63.46927584,-85.43282617,4.598656467,-216.5523396,-52.69628628,-163.8523841,-123.4500822,-61.12736133,-100.605184,-9.368629333,-175.2396024,-124.0278952,-185.2454383,-130.0800724,-242.217968,-183.7545045,-191.951144
"('Cladribine', 'Vandetanib')",-307.9108291,-264.3287071,-271.5195027,-245.3534277,-212.7440335,-186.7103871,-262.0891733,-272.2093515,-262.5776494,-255.3002103,-300.1030565,-230.0005417,-250.7448285,-336.9456292,-298.425697,-210.4190189,-289.9762901,-254.1916946,-172.0265306,-250.8315164,-321.1224824,-322.1207349,-305.0172711,-310.9799232,-287.0155979,-259.7563581,-333.9746928,-269.3687408,-109.2381356,-336.3316277,-253.5796084,-235.3456574,-272.1793586,-226.0322922,-214.9033427,-269.4381183,-283.3435925,-261.0231644,-168.742222,-266.04857,-313.4468956,-329.1303966,-278.6017352,-328.1453607,-324.8103287,-311.873016,-339.2415803,-331.2988651,-231.3162379,-201.7477954,-247.2066637,-275.011846,-316.9279148,-286.0566725,-280.605997,-237.0495958,-302.6305839,-278.0360219,-270.6840508,-245.2981533
"('Cladribine', 'Daunorubicin hydrochloride')",-349.5415157,-260.2760905,-201.368,-296.9419714,-193.9241898,-381.2476689,-165.9542366,-166.6294413,-242.8272098,-260.5825156,-235.858305,-235.4545567,-260.0886741,-149.5389447,-258.5185343,-287.7117577,-241.8706275,-186.0568314,-203.7286627,-170.4855592,-382.3772399,-224.6274484,-279.3613981,-291.7426564,-194.2653419,-207.9470189,-355.3445203,-219.9922731,-57.78716035,-176.3508629,-243.5422562,-254.7149866,-185.481472,-223.1534388,-200.4538144,-343.2021924,-284.8180669,-259.8735475,-183.6839722,-274.3712066,-150.0614312,-261.1804728,-199.4333908,-207.5890315,-167.479256,-255.1048351,-229.6754,-153.9389549,-361.9720546,-208.653088,-201.1867088,-287.6667284,-88.95399819,-228.9898749,-239.5370244,-266.6980589,-188.1063457,-253.6490674,-344.7661355,-271.3312191
"('Cladribine', 'Megestrol acetate')",-301.6977052,-285.2347861,-258.8738267,-219.0235193,-253.9061151,-365.5464224,-234.2427088,-253.9062946,-335.5068995,-307.2981609,-223.0291425,-299.3644914,-286.1803995,-243.5386331,-309.7170433,-309.269458,-343.7295146,-217.6266993,-289.5083003,-274.8076977,-395.7184423,-291.5051293,-274.130719,-270.7497862,-335.3864237,-309.0155189,-269.8309503,-275.1872942,-304.4213697,-308.446401,-345.5141295,-344.00696,-269.9014153,-293.7007372,-275.5935967,-305.4024181,-322.0119715,-316.7881589,-242.5354044,-311.4902021,-273.9870041,-217.7455875,-281.9647863,-302.8250474,-292.4085024,-284.7158655,-292.9205168,-282.5036541,-329.3707284,-252.6462224,-312.1737366,-298.300456,-228.3794297,-266.0464118,-315.5053317,-323.6157805,-292.0824228,-282.7294927,-293.0926369,-273.7977379
"('Cladribine', 'Lenalidomide')",-305.7014914,-286.9579225,-267.8729773,-248.7791732,-278.6821888,-282.4929028,-151.0226453,-253.0119149,-302.6863978,-294.5116724,-236.199325,-244.7283529,-262.8287851,-194.485841,-282.8142284,-235.513865,-298.4411773,-250.9388474,-259.0436533,-301.4600232,-431.698481,-274.435245,-295.2132421,-265.7150592,-256.0109783,-245.374695,-268.0610655,-300.639903,-353.4122792,-287.7195825,-323.0516554,-290.9379651,-252.5329693,-293.2620496,-199.0839734,-292.0966291,-341.0703537,-294.9656115,-177.5195115,-243.5370781,-225.3718048,-266.6129489,-259.8202676,-302.8792927,-291.3763098,-286.2509813,-253.7657291,-286.4097838,-311.9744489,-230.6892632,-210.8525086,-256.8252135,-245.8057115,-247.1441035,-312.6399991,-305.0866901,-268.8344098,-286.5361724,-292.6356732,-346.0519223
"('Cladribine', 'Uracil mustard')",-236.4422137,-262.1660876,-228.3807613,-164.4936625,-182.2827607,-195.7038973,-48.56207837,-150.2050067,-212.893481,-240.0096395,-232.4279625,-162.152643,-198.1528651,-8.27581278,-179.7686786,-206.6349004,-274.6407011,-171.797192,-196.0565853,-199.7442008,-367.3517721,-214.2163707,-236.7987542,-213.3898351,-197.8210868,-217.398787,-302.094834,-195.4497216,42.34109875,-237.6886773,-196.4831774,-302.1452723,-177.2277857,-225.1805348,-179.7159502,-254.9740487,-322.0308906,-259.554893,-195.6804317,-275.2373321,-155.9285306,-103.313119,-185.1649647,-190.0081444,-212.1450368,-252.7683694,-237.1888891,-202.1689811,-300.0123924,-145.8717744,-203.7681532,-180.7563553,-12.73705936,-189.734416,-255.5532018,-259.9297107,-215.0562043,-269.4625326,-270.7088552,-248.2819941
"('Cladribine', 'Dacarbazine')",-321.0435248,-306.189321,-302.7551187,-210.535487,-220.347996,-287.7763015,-204.4548222,-280.2478906,-299.3080124,-270.1727408,-288.12557,-272.8019709,-300.4408011,-181.3302344,-254.4675331,-305.1326672,-313.2540457,-295.1213341,-260.2018932,-233.4963647,-243.7127121,-227.3275854,-271.6729968,-310.5470815,-294.6742525,-283.0908244,-273.4300337,-334.6461787,-203.8839269,-277.7749587,-290.3463621,-272.0879562,-248.3129692,-308.4314704,-230.6041254,-291.2794462,-315.4869173,-304.8107426,-275.9588485,-284.8930756,-241.2248606,-301.2326363,-281.1566523,-288.1473404,-299.6522179,-320.5785814,-263.4055781,-289.0119404,-325.2989927,-242.0893368,-286.5427918,-343.798792,-286.4630548,-266.159857,-295.591392,-319.2270359,-273.9173202,-325.2867594,-290.4217678,-255.9440754
"('Cladribine', 'Lomustine')",-257.7333432,-279.6569193,-235.459712,-224.925967,-221.8033674,-269.1904955,-107.7089069,-200.4535393,-309.6562596,-258.9663506,-216.6844,-210.3399948,-198.7128139,-52.40482599,-238.4289766,-195.9019428,-206.2710124,-226.4651542,-210.4039073,-187.7888141,-333.4788518,-217.4487608,-245.344347,-258.1370683,-268.1884767,-221.1274851,-261.1785485,-232.2450704,-21.74202163,-245.9560841,-247.4342266,-284.8258701,-247.8019911,-240.6887247,-182.6316927,-296.0427893,-309.837357,-255.239327,-196.8196781,-270.1246708,-162.1402002,-252.7478078,-226.5846178,-199.1668887,-189.7924432,-220.1829129,-249.1845333,-206.844406,-321.5660554,-205.9749176,-130.7530548,-187.5632033,-43.94054165,-185.0126941,-280.2943145,-315.0517008,-216.29721,-301.0516987,-239.9537718,-248.9187944
"('Cladribine', 'Mitoxantrone')",-177.0800402,-126.033019,-129.1813787,-142.7950244,-141.2453116,-222.8205821,-21.26709667,-170.8383999,-95.66030779,-215.3525403,-218.6490325,-178.4123921,-193.6775963,-61.48192177,-118.7609432,-164.3611997,-166.1258824,-185.3519241,-156.007474,-166.1541416,-318.9552897,-136.3796194,-187.6035719,-187.2921428,-194.9174365,-161.332534,-202.8724597,-149.1234613,28.40047099,-77.56380785,-141.6430731,-257.1702374,-135.9232383,-104.5138214,-182.113824,-227.2749166,-223.7723603,-218.0570779,-123.2766422,-252.1467857,-84.01398753,-189.7188276,-182.5603525,-137.7894813,-108.987513,-151.6938582,-193.2183093,-103.1704356,-221.9871722,-110.1358536,-22.82652747,-95.79533654,33.48128651,-189.3772434,-186.2079492,-188.3226417,-43.67302795,-297.6320861,-235.5868829,-211.0778514
"('Daunorubicin hydrochloride', 'Mitoxantrone')",-18.1018296,-115.6809466,-141.1292191,97.58708085,-81.14630417,-9.44421584,-2.526044613,-75.1454648,-213.2607025,-204.7162126,-155.8499776,-103.8978418,-138.9184952,-8.13801312,-40.27414137,-41.23138267,-67.6061952,-164.4684716,-82.9840977,-169.4600774,-142.7454807,-38.65099104,-69.46907451,-71.25032638,-148.7590736,-145.6239927,-186.7625316,-102.4757373,-12.02034455,-42.96456658,-55.87560055,-162.3673625,-87.74148219,-51.35840852,-223.6775501,-99.80221528,-186.3266872,-166.2361877,-204.1376824,-159.0412823,-104.0026516,-24.70194472,-32.51869367,-3.01477088,-2.490841173,-25.67476461,-168.2347601,-16.73977516,-77.53959513,-50.94520511,19.43423,-52.33446373,64.32438091,-191.731556,-118.782066,-116.6842084,-69.3899828,-219.0205838,-87.4778001,-157.1739296
"('Cladribine', 'Cabazitaxel')",-50.77139212,-154.2908644,-92.29792762,-142.4102805,-107.1457103,-111.0416824,-62.6854812,-168.0035251,-88.73355477,-176.8871592,-117.0601294,-102.9810558,-112.1718745,-91.275485,-122.5076674,-150.3111231,-116.880795,-120.1068795,-138.023601,-121.6207532,-148.8239977,-175.4108889,-127.4563685,-173.0125306,-93.9025806,-163.8134704,-106.9768848,-121.6433234,39.8494864,-169.2406631,-138.2346485,-143.3256984,-82.77593812,-126.1911996,-199.8787827,-125.7813513,-240.0908016,-158.5545929,-96.1157234,-187.4902918,-80.58182024,-66.64864872,-141.1987427,-192.9352427,-96.92268862,-116.9316205,-206.7329341,-143.6972345,-154.5854782,-106.9177146,-125.8092923,-118.0516233,-120.2823626,-135.8086618,-158.6596037,-141.0277092,-148.6672832,-189.4697433,-118.4380824,-131.1976418
"('Vismodegib', 'Crizotinib')",-261.9325374,-300.8992155,-258.2353558,-315.6686424,-282.0330831,-282.5570692,-230.0243069,-309.5696423,-284.7954571,-306.0052632,-250.4793705,-248.5873323,-286.3405803,-349.8382445,-336.2161216,-277.2832252,-257.3314847,-243.2058476,-257.1425393,-219.2719705,-128.1017715,-250.8313382,-278.9180367,-285.7145514,-252.7500803,-303.5131294,-267.9478484,-270.5831054,-102.7579597,-250.7554287,-282.6520821,-277.4036322,-239.0973038,-242.0908123,-299.7229452,-252.715565,-311.4890372,-229.4830808,-285.3715415,-249.1271226,-256.5757287,-274.8887805,-342.645764,-221.9747664,-302.7833454,-249.6025513,-257.1690026,-267.023687,-338.7230213,-270.9633204,-279.447799,-276.5507133,-113.4451148,-267.2997715,-219.898798,-249.4883604,-273.7552682,-256.3530731,-219.2100056,-153.1081504
"('Megestrol acetate', 'Gefitinib')",-277.6477032,-228.0190183,-200.1192965,-178.67696,-214.5763814,-291.1195825,-147.7227083,-227.420002,-182.278436,-195.8476432,-253.883583,-234.2456351,-220.4022081,-218.6655897,-276.2739791,-357.8541927,-294.9144656,-285.85665,-42.3493256,-173.1948918,-289.0470342,-330.0948522,-206.6464509,-209.9121701,-313.1345022,-338.2887506,-249.3138673,-148.9845056,-190.3219507,-215.8143884,-281.850258,-1.454428373,-209.9124,-134.3218286,-242.9220923,-222.0734561,-236.2300132,-249.4617612,-231.2415443,-244.5353474,-142.2427987,-213.08026,-308.938569,-268.7629296,-217.9012723,-302.16272,-225.5778479,-261.7757967,-179.533803,-252.5143246,-324.6515165,-292.12915,-108.7890404,-203.6063428,-163.3151452,-143.4055975,-240.1966481,-229.9435466,-200.0070528,-200.9357622
"('Lenalidomide', 'Ruxolitinib')",-282.0642949,-265.8225368,-297.4050299,-226.6454877,-280.2821107,-267.0221805,-290.0359645,-306.0752755,-255.838499,-316.3847441,-232.7434434,-279.635367,-262.2694341,-287.3677365,-267.6663179,-282.3519082,-287.5450144,-294.4268845,-290.2520214,-280.3812018,-226.3552509,-317.0413257,-263.2197248,-291.856113,-235.2944641,-281.4839003,-211.5520381,-250.7320355,-341.7529247,-277.200255,-273.2884999,-310.6901116,-327.3078906,-242.500079,-286.377722,-317.2471403,-287.4040075,-319.0058431,-279.6274924,-299.8139343,-210.3746357,-323.0330165,-189.1054611,-286.4489539,-279.4012616,-245.4842691,-271.9394595,-289.81768,-285.2432912,-321.7135459,-278.0156646,-313.8801565,-142.0873536,-270.3810615,-305.3338021,-284.0152744,-312.3905412,-243.1863484,-337.001109,-310.1564888
"('Megestrol acetate', 'Teniposide')",-150.4465422,-166.6726495,-111.7952128,-78.587884,-185.0510696,-255.9386979,-91.15427833,-74.93741466,-155.957597,-207.8560234,-168.7471344,-124.9261923,-188.4479776,-152.7254569,-111.372014,-232.1117404,-95.67663232,-224.5652925,-168.0336444,-176.6396238,-115.9745707,-153.0141673,-203.9175879,-215.5338021,-220.6597384,-218.1602439,-324.5740329,-185.3860812,-23.32257508,-174.6952555,-135.6415569,-302.2652222,-129.42779,-200.4568959,-293.0995065,-184.6334613,-314.0600942,-189.7274492,-226.0677482,-221.8588828,-28.9445224,-217.3125193,-189.1171441,-124.1888651,-101.1106793,-85.4718964,-242.737999,-258.6617391,-155.358047,-151.9521459,-80.89605433,-184.1511448,96.3051955,-182.3416492,-181.6655088,-222.5372855,-112.478335,-248.0650252,-185.0602845,-293.1856412
"('Megestrol acetate', 'Axitinib')",-323.3607644,-242.4618106,-253.9715611,-302.7495172,-292.1156053,-316.1850093,-244.1156731,-233.0893855,-317.9434155,-269.3114066,-302.7243118,-268.0774603,-305.9920141,-87.94287538,-307.8991366,-333.7508431,-270.9562853,-303.7554509,-305.4928958,-132.1628399,-307.9655173,-324.6670594,-333.629599,-300.6857651,-288.8364035,-342.2330364,-315.4512823,-294.3438759,-205.2483394,-308.1019355,-329.5094617,-320.225427,-305.8475049,-277.620311,-310.7640494,-341.2224364,-264.6989443,-280.5599896,-300.7130896,-302.3050291,-259.2321787,-280.990892,-328.6409433,-297.3067274,-227.553763,-308.3936209,-290.5956931,-250.6289093,-301.1612364,-275.1016103,-266.8229166,-295.683061,-211.7959637,-257.2699473,-227.5533665,-341.5972537,-292.9785474,-264.0618203,-293.8358454,-292.6222541
"('Megestrol acetate', 'Vandetanib')",-292.6889819,-231.5840673,-228.13476,-225.675595,-274.6213646,-278.7000595,-275.3577579,-291.5356782,-248.7476575,-249.4085032,-254.7982553,-290.2219306,-252.403819,-320.4438627,-340.4955935,-303.9897127,-305.0319949,-257.9012212,-204.4615516,-262.7855989,-323.6703945,-317.9259638,-310.8779169,-275.0994487,-309.494885,-330.2915331,-280.7384795,-256.1982608,-247.397213,-308.5116813,-281.5989085,-232.4101482,-317.7566095,-248.2228864,-291.1229363,-245.2158257,-283.8313936,-254.1144076,-291.5484953,-244.8133455,-228.8542033,-312.7957121,-297.8477995,-318.7708005,-293.9165453,-282.9946514,-305.9812528,-283.3600223,-191.1691504,-206.8135576,-311.5952673,-276.6499559,-284.7875044,-250.9305233,-208.9230015,-256.4803857,-295.4751105,-269.3487361,-291.8200827,-240.8267916
"('Lenalidomide', 'Vandetanib')",-303.1554388,-229.9277269,-270.601448,-230.9267161,-239.854589,-248.0203123,-259.4334357,-341.0996282,-237.1582598,-300.5555899,-279.1515884,-301.1803169,-255.8130765,-253.9449957,-240.8772367,-291.5444607,-285.2685568,-263.3248959,-162.6520387,-203.8551722,-307.7923825,-281.6112051,-289.306136,-259.0598265,-234.4170842,-270.0356651,-249.9434053,-245.7949062,-358.9668757,-235.6710167,-256.3161099,-150.9159744,-307.0888841,-228.3698246,-272.6247272,-242.1468529,-280.415594,-233.2551648,-269.8514639,-249.9277461,-201.9354813,-285.4152601,-223.5170235,-291.2302281,-268.8182884,-243.0346668,-212.4899616,-185.0220446,-241.0343822,-281.0628405,-261.6371944,-214.141267,-251.7378647,-282.4356051,-281.6474705,-192.0824724,-285.3096015,-235.2838768,-261.2653499,-275.0208675
"('Lenalidomide', 'Vismodegib')",-264.1013426,-259.5594779,-297.3841801,-284.5411877,-223.9143156,-337.2572837,-272.7417765,-322.3999817,-235.9707736,-326.6116935,-357.2266886,-285.8196097,-279.5767561,-246.1792077,-276.5935206,-333.2742734,-236.1582828,-284.6360405,-295.9803569,-271.8949866,-285.9983192,-321.4074226,-275.6431352,-238.1113333,-202.4492752,-300.4230851,-248.8189033,-252.899974,-425.2282291,-215.6641367,-307.8096525,-244.1881568,-294.1634911,-306.8085854,-256.9250365,-277.8312017,-268.0047877,-256.7906268,-245.6842063,-245.6707998,-208.3180245,-262.6077012,-202.1244371,-285.2037891,-259.4663797,-261.7345828,-216.0045868,-217.8347995,-274.3981108,-308.3375208,-282.8342354,-263.820218,-241.5870441,-304.157391,-274.9071241,-268.4614336,-283.5188917,-203.1392281,-245.7970565,-190.0747008
"('Megestrol acetate', 'Lenalidomide')",-322.7623268,-292.7525565,-249.2279016,-354.87102,-295.1838131,-334.8692026,-282.4035733,-354.9828442,-271.93838,-313.6726824,-294.7429484,-308.9705287,-312.8100155,-406.1027849,-294.5679763,-321.5410806,-335.071345,-355.9316064,-361.2251261,-330.4439369,-374.5305317,-276.3613962,-315.0125807,-326.2791592,-352.064893,-386.5867399,-278.1268499,-309.6716604,-337.1772136,-315.4465611,-337.5310266,-320.0039845,-327.73987,-316.1013012,-303.2525972,-291.5045789,-316.0439202,-287.6578322,-281.2511887,-297.4172741,-237.3155094,-378.9366961,-382.9141516,-324.7244193,-302.0009499,-299.8079884,-317.6286762,-431.8634148,-332.4584419,-313.551521,-307.2947404,-340.1460905,-332.4800972,-312.0511859,-255.6430499,-327.3047339,-285.151872,-352.9140022,-289.0313693,-323.3705218
"('Megestrol acetate', 'Mitoxantrone')",-156.2920185,-158.6556499,-108.5939814,-67.28182533,-108.1644354,-191.867285,108.8913767,-89.4563468,-175.2962591,-176.4032412,-174.5695321,-104.9784182,-151.6887769,-77.11252344,-132.3549453,-148.8766696,-136.0391056,-151.8137483,-153.395554,-73.31112288,-125.3987785,-118.785395,-100.0114385,-103.1887432,-219.1394408,-196.9761227,-148.9284405,-84.43005824,-22.57639572,10.73477678,-151.6465691,-174.8407373,-111.66392,-145.8317841,-334.5539498,-120.2203275,-166.0750734,-171.1193677,-125.8119513,-163.6023119,-100.5538172,-167.5093115,-107.0724536,-81.91886936,-56.48899925,-68.30631308,-118.4202282,-124.7921377,-94.98920384,-103.2676563,-101.9888275,-107.5805813,115.5228395,-81.33185188,-105.1746419,-198.8260503,-87.0712808,-258.3580032,-102.1543232,-238.3176621
"('Tamoxifen citrate', 'Chlorambucil')",-255.7834293,-283.5356357,-227.2135424,-225.4293729,-223.1613424,-224.2933329,-165.2122987,-273.348802,-256.0727867,-270.000622,-288.7712292,-248.2277567,-225.0912572,-183.8662492,-227.883643,-262.4706681,-246.0145212,-259.8517878,-261.539448,-263.0384694,-333.4622379,-262.4169196,-251.8644004,-276.2616576,-236.6369355,-228.8065755,-289.507292,-209.1502626,-145.2585056,-249.0586855,-241.8386782,-366.5882696,-247.5193673,-222.9713064,-270.6875528,-286.3242072,-337.9778096,-286.0773782,-282.6735425,-294.5068931,-256.9143988,-238.4424606,-266.6699554,-257.4333188,-192.9043746,-282.8305185,-299.3701181,-225.0276326,-263.0152654,-270.8666009,-229.4545085,-230.450025,-141.8817163,-251.5005714,-289.6266162,-288.6658528,-266.5109268,-294.4770222,-253.3085312,-302.5812147
"('Tamoxifen citrate', 'Exemestane')",-215.5476389,-201.038875,-166.8575517,-233.6660322,-194.5052922,-223.1054292,-228.988769,-195.1098722,-179.1661571,-162.14288,-178.2446278,-197.7698742,-155.2507145,-200.8852997,-161.9799955,-167.7755941,-173.6844256,-173.1861019,-197.8478222,-226.6273662,-206.8813798,-189.2808758,-204.2891712,-176.3306717,-211.9118982,-162.0926159,-189.6883218,-172.315019,-206.8106195,-210.8897287,-192.639598,-195.2143892,-208.9436609,-211.4637036,-163.6373805,-193.2553744,-196.5504003,-206.696176,-208.3072114,-206.1435363,-151.4160816,-172.3276667,-226.0292139,-228.3816422,-232.5384117,-218.8202638,-210.8115192,-156.5339572,-182.0087814,-181.7164133,-219.4028492,-176.126503,-198.4201153,-221.3659663,-168.5075075,-199.142262,-204.5363483,-172.8578022,-213.7492476,-252.4509606
"('Quinacrine hydrochloride', 'Thioguanine')",-172.1299336,-249.725119,-182.8252222,-153.3964298,-214.7931868,-186.5702271,-104.3719487,-142.4963169,-121.1668523,-160.8708372,-173.9044577,-135.0470587,-154.99656,-138.1892334,-185.8202142,-183.8588572,-197.270068,-126.5695118,-194.0789623,-114.4996679,-261.4380584,-119.6285605,-208.6314242,-214.1265374,-178.6433516,-208.9736446,-226.4288443,-179.1015112,-84.10152349,-259.9413437,-180.3804151,-237.6269236,-132.7080827,-215.0333164,-213.407659,-219.1351892,-194.8663642,-130.417612,-146.5507577,-196.6710201,-111.4497807,-242.130488,-213.3488417,-199.3676451,-181.8626853,-286.7565939,-260.7999984,-183.9159101,-208.5468634,-209.9189315,-266.6464286,-233.890582,-98.67004483,-195.7668759,-251.196557,-212.4997577,-190.7613716,-236.2938518,-185.2145132,-168.6736575
"('Quinacrine hydrochloride', 'Ruxolitinib')",-207.3770208,-265.9369644,-172.9184623,-157.5551089,-265.5827701,-229.5205347,-104.6781094,-152.5509284,-205.4320705,-207.5373891,-175.5010115,-238.8345215,-242.0474704,-88.71993439,-243.0655734,-178.2052778,-143.6481252,-213.8905925,-279.7120362,-125.1028387,-190.491508,-265.8313448,-258.6222149,-234.5639426,-216.8910187,-241.1747989,-273.8211411,-222.6375261,-148.3088453,-211.1425111,-204.9078866,-213.2054476,-231.4877759,-215.3462201,-270.3662807,-294.5634806,-201.7383655,-220.7381868,-205.1424353,-205.8424877,-29.68981413,-218.5062123,-223.8757402,-250.5235218,-255.2355868,-216.8468811,-251.4163045,-321.8419293,-238.2995608,-248.2860494,-240.0269365,-263.2948876,-116.809336,-215.8350432,-237.0259305,-234.3186278,-283.4256852,-238.9174808,-264.7625813,-222.9495089
"('Quinacrine hydrochloride', 'Melphalan')",-179.9968943,-263.344118,-212.9559095,-182.9941382,-228.1031216,-243.1147606,-138.0276558,-162.3213344,-251.2353243,-275.1329407,-211.9452207,-176.0736853,-166.3698483,-58.0852876,-245.7666227,-201.2626234,-246.818902,-177.1015526,-198.1854092,-166.6155441,-284.5899921,-231.5910054,-318.6097582,-199.2001801,-200.2493469,-210.3720956,-249.7470804,-202.7405791,-74.20849247,-165.0457167,-184.8720184,-251.4293095,-194.9487224,-202.7614631,-247.0291632,-263.9472577,-249.3982894,-219.5351511,-197.9922604,-239.3958273,-109.6486827,-254.1820771,-250.6776286,-234.8965946,-190.4231573,-280.7341374,-242.6543424,-236.2382626,-257.8887647,-221.3936032,-228.1073754,-257.6806789,-78.3070089,-152.8715156,-255.9238001,-222.8421165,-242.9009933,-317.8014645,-258.9961785,-236.2644369
"('Tamoxifen citrate', 'Thioguanine')",-257.7029784,-269.9175621,-201.1958948,-184.4261273,-234.6019407,-187.7391751,-127.5675195,-206.3896157,-173.4809649,-168.660383,-185.1551998,-161.0860714,-190.8730347,-182.7745585,-171.0516565,-211.7460192,-269.8500567,-182.3260653,-258.7286281,-167.5505486,-223.7043245,-88.15447736,-226.0504906,-237.4136062,-214.4454414,-236.0506333,-230.7826961,-217.1985801,-136.6326313,-300.8623668,-188.3568533,-197.8269469,-182.6279867,-191.1092399,-180.6050661,-159.8915385,-212.4973197,-164.6224991,-198.8000612,-238.1193398,-214.7678814,-264.0046302,-253.6364101,-195.2500409,-185.8049304,-254.3606937,-319.9679628,-187.6034604,-225.8292083,-203.9578849,-291.3619933,-258.5710868,-101.1777396,-280.6911899,-224.7695465,-250.3541932,-211.3893966,-223.7635426,-190.4253706,-167.4363131
"('Tamoxifen citrate', 'Ruxolitinib')",-271.1713783,-275.5536878,-242.4784605,-238.8676472,-288.6535091,-259.3575855,-219.3277674,-241.2072983,-250.940694,-305.1800374,-299.174413,-308.0343417,-237.5105855,-314.9207469,-290.0248595,-292.070955,-222.2287408,-263.8721267,-242.2348434,-267.8677586,-237.5841272,-281.1187685,-292.5236252,-272.0419959,-243.1553253,-267.4439482,-282.0779273,-241.9168207,-264.3115445,-244.3375597,-252.1531207,-351.4551996,-306.9784713,-222.7615122,-274.6907738,-315.7810151,-317.917791,-255.4245467,-291.7767321,-291.4164907,-191.0598045,-262.2362279,-323.7174894,-286.605961,-274.014306,-234.1312931,-259.867349,-213.3151275,-253.9088488,-289.2742476,-304.7942866,-264.8598928,-209.0437425,-242.4216835,-293.6662771,-263.3163331,-288.7048533,-300.0019569,-313.3541058,-232.4854753
